User ID,Professional Field,Organization,Military or Civilian:,JobTitle,Country/Region Name,Likes Lattes
1,,528th Sustainment BDE (SO) (A),Military,Operations Sergeant,USA,NO
2,Immigration Law,U.S. Citizenship & Immigration Services,Civilian,Senior Advisor,USA,NO
3,Intelligence,INDOPACOM JIOC,Military,South East Asia Branch Chief/CG LNO,USA,NO
4,Defense,APCSS,Military,Professor,USA,NO
5,Maritime Affairs,University of Washington,Civilian,Masters in Marine Affairs Candidate,USA,NO
6,Intel (OSINT),Asian Studies Detachment,Civilian,Intel Specialist,Japan,NO
7,Regional ref INDO-PACOM and cyber,SOCPAC,Civilian,SOJ7 Director,USA,YES
8,,APCSS,Military,Fellow,USA,NO
9,Law Enforcement,Drug Enforcement Administration,Civilian,Supervisory Special Agent,USA,NO
10,Military Exercise Design,USINDOPACOM J372,Civilian,Exercise Scenario Developer,USA,NO
11,Defense Education and Training,USASOC,Civilian,Instructional systems specialist,USA,NO
12,Counter Threat Finance,Metis Solutions,Civilian,Counter Threat Finance (CTF) Analyst,USA,NO
13,Psychological Operations,C/3rd POB(A)(D),Military,Company Commander,USA,NO
14,Law Enforcement,"US Treasury, IRS-Criminal Investigation",Civilian,Special Agent,USA,NO
15,,Treasury,Civilian,Treasury Advisor to INDOPACOM,USA,YES
16,transnational organized crime,retired,Civilian,retired,USA,NO
17,Human Resources,DoD Civilian,Civilian,HR Professional,USA,NO
18,Foreign Affairs,APCSS,Civilian,Professor,USA,NO
19,Foreign Affairs and Digital Technologies,DKI-APCSS,Civilian,Professor,USA,NO
20,Government,U.S. Army Garrison - Kwajalein Atoll,Civilian,Attorney,USA,NO
21,Civil Affairs,Army Reserves,Military,Civil Affairs NCO,USA,NO
22,Defense - Civil Affairs,97th Civil Affairs Battalion,Military,Team Chief,USA,NO
23,,USINDOPACOM,Civilian,Govt Employee,USA,NO
24,,DKI APCSS,Military,Alumni,USA,NO
25,Operations and Foreign Affairs,U.S. Coast Guard District Fourteen,Military,D14 Command Center Chief,USA,YES
26,US Army Civil Affairs,"G37,  1SFC(A)",Military,"Chief,  Training Support",USA,NO
27,DoD Civ,DKI APCSS,Civilian,REO Assistant,USA,NO
