last_name, first_name,player_id,year,slg_percent,on_base_percent,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,n_bolts,hp_to_1b,sprint_speed
Pujols, Albert,405395,2022,0.550,0.345,91.2,16.4,34.5,12,7,22.5,26.7,29.1,2.7,47.3,102.064436899,63.5,12,34.9,36,64,53.4,71.7,6.6,88,46.6,42.9,21.3,48.2,52.3,30.2,17.4,60.6,38,29.5,20.5,12,,5.08,22.6
Cabrera, Miguel,408234,2022,0.317,0.305,89.9,5,35.2,4.7,3.7,28.9,18.3,41.9,2,38.2,99.360961867,71,19.4,31.6,42.3,57.7,52.7,81,7.1,80.6,47.3,43.7,27,50.2,31.6,39.9,28.6,61.9,52.5,19.6,25.9,2,,5.13,23.1
Molina, Yadier,425877,2022,0.302,0.233,84.7,16.9,34.1,3.1,4.9,27.4,31.8,30,2.7,26,95.0195225,75.2,18.5,41.3,28.6,71.4,48.9,74.6,7.2,81,51.1,45.5,22,58.6,36.3,38.6,25.1,70,39,29.6,20.2,11.2,,5.07,21.8
Suzuki, Kurt,435559,2022,0.295,0.264,85.2,24.1,31,3.5,7.1,20.4,39.8,23.9,5.3,26.5,95.157941429,68,12.6,27.2,43,57,48.9,76.2,10.6,87.4,51.1,42,21.1,48.1,45.1,38.9,15.9,61.6,30.1,30.1,21.2,18.6,,5.01,24.2
Cruz Jr., Nelson,443558,2022,0.337,0.312,90.9,7.2,28,9.3,4.5,25.6,17.2,39.8,2.4,46.1,102.29838061,72.5,23.3,31,50.6,49.4,52.2,81,6.1,76.7,47.8,44.4,32,50.8,32.8,37.3,29.8,61.5,53,19.3,22.9,4.8,,4.81,25.5
Peralta, David,444482,2022,0.415,0.316,90.3,15.1,35,8.5,9.1,26.9,25.7,28.1,1.8,44.4,101.233296566,69,14.3,33.1,49.5,50.2,51.7,70.5,7,85.7,48.3,44.4,26.2,50.4,38.1,39.6,22.4,61,36.3,28.4,26.3,9.1,,4.44,27.6
Longoria, Evan,446334,2022,0.451,0.315,91.1,18.2,33.3,12.4,10.2,23.1,25.8,25.3,3.2,46.8,101.592486559,62.8,22.5,26,46.1,53.9,50,74.1,7.2,77.5,50,44,29.4,44.4,43,32.8,24.2,58.9,37.1,29,24.2,9.7,,4.71,25.3
Blackmon, Charlie,453568,2022,0.419,0.312,86.2,12.4,36.7,4.4,4,27.1,25.2,32.2,6.5,30.6,97.426435333,70,16.6,32.1,32.6,67.1,48.7,82.7,7.8,83.3,51.3,43.9,21.4,51.5,43,36,21,59.7,44.4,23.8,25.7,6.1,1,4.36,27.9
Maldonado, Martin,455117,2022,0.352,0.245,88.4,14.7,31.6,8.1,6,21.4,29.1,29.9,5.1,40.2,98.987733509,69.1,20.3,31,58.8,41.2,50,78.5,7.1,79.7,50,42.1,32.2,49.9,41.9,35,23.1,66.5,43.6,29.5,20.9,6,,5.07,22.4
Chirinos, Robinson,455139,2022,0.287,0.264,84.8,17.6,30.8,6.9,5.4,16.9,32.3,31.5,6.9,33.1,97.472003281,72,21.9,31.1,56.7,42.6,53.1,78.6,4.9,77.1,46.9,42.9,33.3,50.3,49.2,35.4,15.4,63.2,40.8,25.4,20.8,13.1,,5.11,23.7
Cain, Lorenzo,456715,2022,0.234,0.231,87.9,3.8,21.8,0,8.2,19.1,19.1,48.2,5.5,36.4,99.010785455,73.7,17.4,32.2,45,55,49.9,80.5,6.6,82.6,50.1,42.7,25.8,53,34.5,41.8,23.6,66,59.1,15.5,20,5.5,2,4.4,28.3
Solano, Donovan,456781,2022,0.385,0.339,88.3,10.7,36.1,5.9,6.8,31.1,19.2,31.1,4.6,41.2,98.956029815,66.5,12,32.2,40.5,59.5,48.9,78.7,7.6,88,51.1,41.8,20.9,49.5,34.2,38.4,27.4,63.7,45.2,23.3,27.4,4.1,,4.62,25.8
McCutchen, Andrew,457705,2022,0.384,0.316,89.1,13.2,36.2,8.6,5.8,24.1,26.3,31.9,3,40,99.92693269,68.5,16.8,20.7,49.2,50.8,49.4,81.3,8.2,83.2,50.6,44.5,24.2,44.9,43.3,37,19.7,57.4,41.8,28.1,24.1,6.1,15,4.38,28.9
Turner, Justin,457759,2022,0.438,0.350,89.5,18.4,40.6,8,6.2,27.1,33.1,22.7,2.6,40.6,99.002545648,70.4,16.1,26.6,31.1,68.9,50.7,79.4,7.9,83.9,49.3,43.6,20.3,48.2,34.6,35.7,29.7,57.8,32.8,33.3,27.9,5.9,,4.87,25.0
Votto, Joey,458015,2022,0.370,0.319,89.7,14.2,32.9,11.1,3.1,24.9,26.2,30.7,3.1,41.3,100.424827857,70.8,23.1,22.9,49.4,50.6,50.5,84.3,7.7,76.9,49.5,42.5,29.6,46.5,37.8,39.1,23.1,57.7,44.9,31.1,20,4,,4.75,25.3
Andrus, Elvis,462101,2022,0.404,0.303,87.9,11.9,29.1,4.5,3.6,26.9,26,33.6,5,34.8,98.336003699,62.4,14.2,29.4,36.2,63.8,50.9,66.3,8.4,85.5,49.1,41.6,21.4,45.6,37.5,38.6,23.9,61.2,46.5,22.1,22.8,8.6,,4.6,26.0
Santana, Carlos,467793,2022,0.376,0.316,90.7,15.4,31.6,9.3,7.2,23.8,28.7,28.7,2.3,44.9,100.993708488,63.8,16.9,21.7,34.2,65.8,50.2,78.2,7.6,82.9,49.8,43,21.3,42.6,47,34.2,18.8,57.6,39.1,28.4,22.6,9.9,,4.68,25.7
Belt, Brandon,474832,2022,0.350,0.326,88.4,23.4,38.5,12.6,6.3,20.1,35.1,17.8,8,38.5,99.264489048,75.5,24.2,21.2,58.6,39.8,52.4,89.9,6.6,75.3,47.6,41.7,32.4,47.1,36.8,33.9,29.3,58.9,29.3,37.9,22.4,10.3,,4.8,24.3
Lowrie, Jed,476704,2022,0.263,0.245,86.2,16.3,26.9,3.1,3.8,22.3,36.2,30.8,3.8,30.8,96.195900923,72.9,19.2,23.6,43.8,56.2,51.9,84.3,7,80.8,48.1,42.9,25.6,47.3,45.4,32.3,22.3,54.3,41.5,29.2,21.5,7.7,,4.92,25.0
